Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
3636,15500,73700,0.16,912,200,0,1,0,0,3,2,1,55.77808219,0,0,1,0
3637,20300,69600,0.178,768,0,180,1,0,0,2,2,1,49.77260274,0,0,0,0
3638,20100,56700,0.223,660,0,0,1,0,0,1,3,1,61.78082192,0,0,0,0
3639,4000,28800,0.131,865,0,112,1,0,0,2,3,0,88.8,0,0,0,0
3640,10400,39300,0.152,617,0,0,1,0,0,2,2,0,58.78082192,0,0,0,0
3641,7300,41700,0.081,768,0,0,1,0,0,2,2,0,90.80273973,0,0,0,0
3642,16200,38700,0.152,792,0,0,1,1,0,3,2,0,96.80547945,0,1,0,0
3643,2900,34500,0.058,918,0,0,1,0,0,2,2,0,96.80547945,0,0,0,0
3644,16500,55800,0.202,905,0,0,1,0,0,2,3,0,90.80273973,0,0,0,0
3645,27700,39900,0.188,704,0,224,1,0,0,2,2,0,91.80273973,0,0,0,0
3646,19300,96000,0.185,876,0,328,1,0,0,2,2,1,23.75616438,0,0,1,0
3647,14400,88900,0.261,900,0,108,1,0,0,3,2,1,38.76712329,0,0,1,0
3648,19600,148400,0.5,1916,0,510,2,0,0,3,3,1,53.77534247,591,0,1,0
3649,6800,92200,0.114,1575,0,316,1,0,0,3,2,1,63.78356164,0,0,1,0
3650,28100,92000,0.177,1112,100,192,1,1,0,3,3,1,64.78356164,0,0,1,0
3651,27400,130500,0.185,1215,298,0,1,1,2,3,2,1,47.77260274,0,0,1,0
3652,15800,76800,0.16,1069,0,0,1,0,0,3,3,1,111.8136986,0,0,1,0
3653,5000,29500,0.143,612,0,0,1,0,0,2,3,0,96.80547945,0,0,0,0
3654,52500,355900,0.34,2634,460,0,3,1,3,3,4,1,56.77808219,0,0,1,0
3655,14900,74400,0.172,1930,0,0,2,0,0,4,5,1,107.8136986,0,0,0,0
3656,22800,86900,0.208,988,450,0,1,0,1,3,2,1,47.77260274,264,0,1,0
3657,7900,33200,0.172,1608,0,0,1,0,0,3,4,0,105.8109589,0,1,0,0
3658,12100,52600,0.143,864,0,136,1,0,0,2,3,1,70.7890411,0,0,1,0
3659,15700,47100,0.156,704,0,0,1,0,0,2,2,0,61.78082192,0,0,0,0
3660,23200,67600,0.227,720,0,0,1,0,0,2,2,1,60.78082192,0,0,0,0
3661,81300,163500,0.955,1630,336,474,2,1,1,3,4,1,80.79452055,0,0,1,0
3662,20400,80000,0.201,864,750,168,1,0,0,2,3,1,49.77260274,0,0,1,0
3663,20800,88000,0.222,1260,0,0,1,0,0,4,3,1,74.79178082,0,0,0,0
3664,21900,116700,0.231,1080,0,120,2,0,1,3,2,1,21.75342466,0,0,0,0
3665,15800,59700,0.152,946,0,0,1,0,0,2,3,0,92.80273973,0,0,1,0
3666,24600,128000,0.161,1448,460,0,1,1,1,3,4,1,84.79726027,0,0,1,0
3667,16800,96800,0.163,1008,500,216,1,1,0,3,2,1,51.77534247,0,0,1,0
3668,20600,51800,0.566,915,0,0,1,0,0,3,2,1,90.80273973,0,0,0,0
3669,26000,122600,0.167,1851,0,0,1,1,1,3,4,1,86.8,0,0,1,0
3670,18900,79300,0.152,720,350,0,1,0,0,2,2,1,62.78356164,0,0,1,0
3671,40200,131200,0.524,1986,0,188,2,1,1,4,2,1,100.8082192,0,0,1,0
3672,16400,61200,0.098,784,0,220,1,0,0,2,2,1,88.8,0,0,1,0
3673,12900,80300,0.172,1020,274,0,1,0,0,3,2,1,45.76986301,0,0,1,0
3674,19400,85700,0.161,1270,350,0,1,0,0,4,2,1,63.78356164,0,0,1,0
3675,19400,83100,0.114,1080,0,0,1,0,1,2,2,1,91.80273973,0,0,1,0
3676,28200,50300,0.193,504,0,240,1,0,0,1,2,0,59.78082192,280,0,1,0
3677,29900,94900,0.194,1140,300,140,2,0,0,3,3,1,58.78082192,0,0,1,0
3678,14700,62500,0.16,960,0,100,1,0,0,3,3,0,90.80273973,0,0,0,0
3679,18900,59100,0.157,792,0,0,1,0,0,2,2,1,93.80273973,0,0,1,0
3680,15300,91800,0.164,1073,350,120,1,0,0,2,2,1,53.77534247,0,0,1,0
3681,20800,107300,0.159,1663,0,0,1,0,1,3,4,1,82.79726027,0,0,1,0
3682,31900,117500,0.172,1270,0,0,1,0,2,3,3,1,72.7890411,0,0,1,0
3683,27600,92800,0.23,1086,0,140,1,1,0,3,2,1,50.77534247,0,0,1,0
3684,11400,75900,0.153,904,0,144,1,0,0,2,2,1,79.79452055,0,0,1,0
3685,13500,59800,0.123,874,0,0,1,0,0,2,4,1,88.8,0,0,0,0
3686,16600,85600,0.168,894,530,0,1,0,0,2,3,1,55.77808219,240,0,1,0
3687,28900,76600,0.16,844,0,171,1,0,0,2,2,1,59.78082192,0,0,1,0
3688,24400,80200,0.169,726,0,0,1,0,0,2,2,1,58.78082192,0,0,1,0
3689,20800,50100,0.445,987,0,330,1,0,0,2,2,0,42.76986301,0,0,1,0
3690,17700,104800,0.152,1629,0,108,1,0,1,4,4,1,72.7890411,0,0,1,0
3691,26900,122200,0.361,1703,600,0,2,0,1,4,2,1,59.78082192,0,0,1,0
3692,21100,122400,0.174,1478,450,0,2,0,0,4,2,1,14.75068493,0,0,1,0
3693,15700,67900,0.157,1021,0,0,1,0,1,3,3,1,110.8136986,0,0,1,0
3694,30400,122000,0.279,1404,0,0,1,0,1,3,2,1,62.78356164,440,0,0,0
3695,26000,140000,0.161,1559,0,0,1,0,1,3,2,1,76.79178082,0,0,1,0
3696,28900,79600,0.18,726,0,0,1,0,0,2,2,1,72.7890411,0,0,1,0
3697,14900,91400,0.172,984,400,121,1,0,1,3,2,1,50.77534247,200,0,1,0
3698,14900,62100,0.153,672,0,0,1,0,0,2,2,1,68.78630137,0,0,1,0
3699,22600,109000,0.145,1296,0,652,1,1,1,3,4,1,62.78356164,0,0,1,0
3700,36300,133100,0.254,1624,0,100,2,1,1,3,3,1,8.745205479,400,0,0,0
3701,22100,64000,0.328,888,0,216,1,0,0,2,2,1,85.79726027,0,0,1,0
3702,30800,101100,0.18,1174,0,0,1,1,1,2,3,1,71.7890411,0,0,1,0
3703,28800,93900,0.224,1370,0,0,1,0,0,2,4,1,63.78356164,378,0,1,0
3704,31900,82000,0.91,1079,0,0,1,0,0,2,3,1,71.7890411,0,0,1,0
3705,58000,148300,0.416,2719,0,0,2,1,1,3,5,1,88.8,484,0,1,0
3706,29100,105300,0.207,868,424,356,1,0,0,2,2,1,45.76986301,0,0,1,0
3707,29900,131600,0.191,1235,200,48,1,1,0,3,4,1,51.77534247,0,0,1,0
