Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
3979,18200,81300,0.17,892,0,364,1,1,1,2,3,1,68.9,0,1,0,54175
3980,15700,67000,0.15,692,0,0,1,0,0,2,2,1,53.8,0,0,0,92589
3981,18400,91500,0.53,1068,350,0,2,0,0,3,2,1,52.8,0,0,1,122040
3982,16600,88500,0.15,1278,0,160,1,0,0,4,2,1,92.9,0,0,1,112289
3983,18100,75100,0.26,939,200,192,1,0,1,3,2,1,52.9,0,0,1,95544
3984,25900,88900,0.3,1073,0,0,1,0,0,3,2,1,13.9,0,0,0,115146
3985,23100,159300,0.21,1136,750,100,3,0,0,2,4,1,5.8,400,0,0,159569
3986,35600,110800,0.32,1500,300,0,1,1,1,4,3,1,37.8,484,0,1,158584
3987,19400,85700,0.16,1270,350,0,1,0,0,4,2,1,61.9,0,0,1,78799
3988,13700,40400,0.26,672,0,0,1,0,0,2,2,1,56,0,0,0,68457
3989,25800,149000,0.25,1676,600,48,3,0,1,4,2,1,36.9,0,0,1,172374
3990,21100,61100,0.18,816,0,0,1,0,0,2,2,0,57.8,0,0,1,87664
3991,22700,182400,0.17,2232,0,0,2,0,1,3,4,1,11.8,440,0,0,196998
3992,28700,79200,0.44,1100,700,0,1,0,0,2,2,1,55.8,368,0,1,125094
3993,8700,58300,0.11,840,0,0,1,0,0,2,2,1,83.9,0,0,1,64024
3994,8500,38000,0.12,755,0,0,1,0,0,1,2,0,108.9,0,0,1,54175
3995,11700,178500,0.13,1680,0,0,2,1,1,3,3,1,88.8,0,0,1,168828
3996,9300,72100,0.28,1298,0,0,2,0,0,4,4,1,101,0,0,1,87000
3997,13700,58100,0.14,1000,0,0,1,0,0,2,3,1,70.8,0,0,1,87664
3998,4400,39800,0.16,837,0,0,1,0,0,2,2,0,69.9,0,0,0,58607
3999,16500,83400,0.17,884,0,0,1,0,0,2,2,1,51.9,0,0,1,105296
4000,18800,106200,0.24,1012,1000,0,2,0,0,2,2,0,58,280,0,1,116229
4001,20300,91800,0.19,1006,0,0,1,0,0,4,2,1,38.8,0,0,1,108349
4002,20400,111900,0.21,983,397,240,2,0,0,3,2,1,19.8,0,0,1,130019
4003,15600,99800,0.15,1120,150,280,1,1,0,2,3,1,52,0,0,1,73874
4004,13800,60700,0.14,1057,0,0,1,0,1,2,4,1,103.8,0,0,1,85596
4005,17100,60700,0.2,1176,0,0,1,0,0,3,4,0,104,0,1,0,63039
4006,25200,126800,0.16,1034,400,120,2,1,1,3,3,1,3.8,150,0,0,152575
4007,25700,154300,0.16,1460,0,120,2,1,1,3,2,1,3.8,424,0,0,129034
4008,19400,76100,0.24,800,385,0,1,0,0,2,2,1,58.9,0,0,1,104409
4009,22600,98000,0.21,1040,0,160,1,0,0,3,2,1,46.9,0,0,1,127064
4010,14300,58600,0.18,1214,0,0,1,0,0,3,3,1,64.9,0,0,1,97514
4011,21200,92800,0.17,1176,0,128,1,1,0,4,2,1,49,253,0,1,110000
4012,17200,38100,0.29,612,0,0,1,0,0,2,2,1,99,0,0,1,46295
4013,13700,54300,0.16,660,0,64,1,0,0,2,2,0,54.9,0,0,0,78799
4014,15100,78200,0.19,826,0,0,1,0,0,3,2,1,52.8,0,0,1,59592
4015,14400,48000,0.15,764,350,0,1,0,0,1,3,1,91.9,0,0,0,71904
4016,13200,24000,0.22,912,0,0,1,0,0,1,2,0,59.9,0,1,0,11820
4017,15000,39400,0.16,552,0,0,1,0,0,1,2,1,92.9,0,0,1,53190
4018,19200,103500,0.2,1248,0,0,1,0,1,3,3,1,40,0,0,1,119184
4019,15100,62600,0.16,776,0,0,1,0,0,2,2,1,61,0,0,1,77000
4020,15400,62700,0.17,1496,0,0,1,0,0,3,1,1,44.9,240,0,0,87172
4021,21100,110000,0.19,1020,300,0,1,0,1,3,2,1,34.9,0,0,1,125586
4022,21100,95500,0.17,1052,0,0,1,0,0,3,2,1,46.9,0,0,1,116229
4023,41300,126100,0.19,1469,0,100,1,1,0,4,3,1,1.9,418,0,0,164395
4024,41300,126600,0.19,1176,0,100,1,1,0,3,2,1,1.9,420,0,0,162425
4025,16100,107400,0.15,1085,0,140,1,0,0,3,2,1,4.8,0,0,0,139770
4026,15900,53700,0.15,720,0,0,1,0,0,2,3,0,91.8,0,0,1,62054
4027,15700,72200,0.15,1063,0,108,1,1,0,3,3,1,71.9,0,0,1,88551
4028,15900,36500,0.3,754,0,0,1,0,1,1,2,0,94,240,1,0,14775
4029,15800,39400,0.15,667,0,0,1,0,0,2,2,0,61.9,0,0,1,68949
4030,15900,68900,0.15,1067,0,104,1,0,0,3,3,0,94,0,0,1,88649
4031,16200,50000,0.15,858,0,0,1,0,0,2,3,1,96.8,0,0,0,62054
4032,10800,57300,0.15,1104,0,0,1,0,0,2,3,1,101.9,0,1,0,73874
4033,16600,89000,0.15,1208,0,0,1,0,1,2,4,1,76.9,0,0,1,111304
