Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
1,15200,52400,0.26,695,0,0,1,0,0,2,2,1,50.8,0,0,0,74818
2,16100,123300,0.28,1054,450,180,2,0,1,3,2,1,30.8,0,0,1,137462
3,17900,63900,0.5,891,0,180,1,0,0,2,3,0,53.8,576,0,0,56850
4,25400,132400,0.26,1080,450,64,2,0,1,3,2,1,30.9,330,0,1,137462
5,23000,99800,0.18,1020,500,0,2,0,1,3,2,1,30.7,0,0,1,131008
6,25900,118100,0.29,1317,0,100,2,1,0,3,2,1,16.7,400,0,0,139973
7,23000,119100,0.26,1802,360,0,1,0,1,3,4,1,68,0,0,1,141880
8,9700,60200,0.13,720,0,0,1,0,0,2,2,0,54.7,0,0,0,69408
9,21700,70000,0.28,912,0,0,1,0,0,2,2,0,62.9,0,0,0,92492
10,13600,70200,0.13,1019,0,310,1,0,0,3,2,1,48.7,0,0,1,109318
11,22100,129600,0.23,1920,0,0,2,2,1,4,4,1,41,0,0,1,176736
12,23900,168700,0.32,2304,0,168,2,1,1,4,4,1,39.9,462,0,1,210611
13,21800,81100,0.16,912,0,120,1,0,0,3,2,1,26,0,0,1,113200
14,23900,73100,0.22,882,0,0,1,0,1,3,2,1,25.8,0,0,0,92296
15,38600,75000,0.36,1151,0,0,1,0,0,2,3,1,58.9,440,0,1,117824
16,31000,147400,0.23,1428,0,200,2,0,1,3,2,1,15.8,0,0,0,184493
17,24100,123300,0.26,1488,182,0,1,1,1,4,3,1,70.9,228,0,1,149735
18,21300,92900,0.18,1369,300,0,1,1,0,3,3,1,56.9,0,0,1,120770
19,14000,102900,0.2,1030,455,168,1,0,1,3,2,1,23.8,0,0,0,78550
20,15800,55200,0.36,675,0,192,1,0,0,2,2,1,52.8,0,0,0,87386
21,23700,72100,0.22,1273,0,0,1,0,0,2,5,0,92.8,0,0,0,85796
22,36100,210400,0.6,2077,862,0,2,1,2,2,3,1,52.9,575,0,1,253617
23,19500,101300,0.16,1114,0,0,1,1,1,2,4,1,67.8,0,0,1,112915
24,23300,82700,0.19,840,700,0,2,0,1,2,2,1,24.9,0,0,1,127545
25,23500,139000,0.22,1568,0,136,1,1,0,3,2,1,10.8,440,0,0,146014
26,22800,132100,0.18,1326,0,338,2,0,0,3,2,1,10.7,440,0,0,149324
27,20500,152200,0.15,1217,676,200,3,0,1,4,3,1,6.7,484,0,0,162435
28,26300,164200,0.35,1598,0,192,2,1,0,3,3,1,3.9,460,0,0,169863
29,20600,146600,0.16,1326,800,180,3,0,1,3,2,1,5.8,440,0,0,180173
30,21100,106700,0.16,856,816,136,2,0,0,3,2,1,16.9,0,0,1,125679
31,23400,149600,0.22,1464,0,676,2,1,1,3,3,1,15.7,400,0,0,141709
32,24600,142700,0.2,1012,360,144,3,0,1,3,2,1,16.8,180,0,0,140407
33,25600,129800,0.46,1492,200,168,2,0,1,3,3,1,46.8,0,0,1,127643
34,8700,60000,0.11,987,0,0,1,0,0,3,3,1,77.9,0,0,1,88270
35,6800,41200,0.08,576,0,0,1,0,0,1,3,0,109,0,0,1,48112
36,17300,42400,0.15,850,0,0,1,0,0,2,3,0,88.8,0,0,0,93081
37,15000,102200,0.12,1353,0,384,1,1,0,3,3,1,97.8,0,0,1,143637
38,15000,102200,0.12,1353,0,384,1,1,0,3,3,1,97.7,0,0,1,147493
